"17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","LBW242","Lapatinib","Nilotinib","Nutlin-3","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","Paclitaxel","Panobinostat","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
3.6219,0.898,0.2464,0.3552,0.04175,NA,0.1492,0.4923,0.1757,0.00241,0.01861,0.8653,0.2396,0.4398,0.1644,0.1107,5.1868,4.0883,0.6164,NA,0.6489,1.2289,3.1375,0.8398
2.9811,0.3433,0.05539,0.05747,0.01175,4.7396,0,0.07161,0.6501,0,0.001908,0,0.2911,0.8768,0,0.005313,7.1153,4.6797,0.8231,0,0.4967,1.0673,4.1211,0.468
3.5976,0.8428,2.0535,0.113,0.3595,4.8923,0.02918,0.3218,0.3646,0.1648,0.1399,0.06714,1.1151,0.9159,0.4072,0.6149,6.5657,5.8478,1.2478,0.1112,0.6416,1.7212,4.5194,1.9715
1.0525,0.5273,1.181,0.01832,1.3084,2.4196,0.2981,0.4948,0.6681,0.3956,0.2088,0.4673,0.1474,0.5166,0.4686,0,4.959,4.53,0.9371,0.4714,0.7985,0.1317,2.1888,0.8072
3.7846,0.7015,0.8074,0.1287,0.3156,NA,0.7397,0.1639,3.3811,0.5231,0.2468,0.5865,1.0329,0.2296,0.4139,0.1735,3.3674,5.1333,0.6517,0.8083,0.3988,0.3351,0.1767,0.5179
4.799,1.0007,0.8363,0.2601,0.2467,3.4086,0.1532,1.6262,1.0001,0.641,0.2901,0.1503,0,0.533,0.1106,0.4886,5.817,3.7698,2.1067,0.5889,0.7964,1.0845,4.1961,0.9727
3.4843,0.7268,1.5541,1.9699,0.7307,NA,0.3731,2.374,1.2981,NA,0.8451,2.8579,NA,0.5536,0.8834,0.8857,5.4667,3.9718,NA,0.3544,1.6433,1.1114,2.8842,1.2382
2.2767,1.3449,2.0615,1.6091,1.128,NA,0.00776,0.5307,1.4312,0.7346,0.4036,2.6013,0.7911,0.7279,0,0.4087,3.4819,4.6721,1.1062,0.2239,1.4705,0.527,1.3702,1.9499
6.5863,0.8161,0,1.8523,0.286,2.0384,0.04038,0.4908,0,0.1393,0,3.2117,0.07469,0.261,0.1914,1.2483,3.1892,2.4495,1.1826,0.3158,0.6679,0.3908,2.2885,0.4507
1.6136,1.1466,1.4118,1.2769,1.0932,0.5537,0.1271,0.3552,0.7662,0.03836,0.1525,1.8386,0.1423,0,0,0.4033,4.8113,3.6886,1.5667,0.4486,0.729,0.9492,1.1215,1.2657
